,Climate_Window,MSE,MAE,IIEE
0,2,0.011530426100014096,0.026150719068355453,1817375.0
1,5,0.011238836507629685,0.025792776187645482,1797663.1944444445
2,7,0.010175814656764705,0.024598900384120482,1698788.1944444445
3,10,0.00986868752747159,0.024091602857063982,1664597.2222222222
4,15,0.009876236882443901,0.024055491608574748,1658982.638888889
5,20,0.009849311407493304,0.024082365691605132,1658701.388888889
