,Climate_Window,latent_recon_mse,latent_fwd_mse,MSE,MAE,IIEE
0,2,0,0.010584765113890171,0.012405851893577251,0.027290683657728305,1908034.7222222222
1,5,0,0.008316146209836006,0.011120830558322024,0.025700648486499073,1786197.9166666667
2,7,0,0.008844844996929169,0.01040106364973491,0.02488274963707618,1728045.138888889
3,10,0,0.008354520425200462,0.00982418791964196,0.024666693167997373,1664725.6944444445
4,15,0,0.008191816508769989,0.009853357404006806,0.024090146431368118,1657333.3333333333
5,20,0,0.008078747428953648,0.0100501030132752,0.02437090870583227,1679083.3333333333
