,Window,History,SVD rank,latent_recon_mse,latent_fwd_mse,MSE,MAE,IIEE
0,1,2,3,0.007916198590879709,0.011763193248476071,0.012862902074259806,0.030843352901562624,1881795.138888889
1,1,2,4,0.007806131009422536,0.012768031153389023,0.011480618245351135,0.029536525594188144,1885309.0277777778
2,1,2,5,0.00526084833179075,0.010630870763378347,0.010770366955803586,0.026339742690164186,1735628.4722222222
3,1,2,6,0.0059540364361993295,0.023784811106459917,0.03552799758705892,0.06119761953000914,4240850.694444444
4,1,2,7,0.004404202783783182,0.026333256892106915,0.01222648649705332,0.03066550371538572,2015805.5555555555
5,1,2,8,0.00357242813679756,0.1220106524765415,0.029705301909003595,0.052206834278600726,3649267.361111111
6,1,2,9,0.0033990975451795055,0.2969319692092026,0.06899122028049233,0.08517175992290445,6228788.194444444
7,1,2,10,0.004266144254292052,0.3616058868146603,0.04357044845244943,0.06342999167526713,4176899.3055555555
8,1,5,3,0.009398272653431124,0.010395748692312492,0.01401244644729896,0.031296170347489535,1940236.111111111
9,1,5,4,0.009356389380451028,0.01056108797143469,0.012144329167410081,0.02921044823139428,1852305.5555555555
10,1,5,5,0.007379807980287419,0.009170984139022063,0.012176665302381408,0.027888611524741907,1873503.4722222222
11,1,5,6,0.010315054612012951,0.019167513147981,0.04054635096790622,0.06535180505014677,4464409.722222222
12,1,5,7,0.00903404402762175,0.011975514883041268,0.022201321068917076,0.04142519357629517,2570375.0
13,1,5,8,0.009068876393055075,0.01015738318305515,0.011198658057312065,0.027396314483941028,1817319.4444444445
14,1,5,9,0.009739496037743621,0.018865172741277178,0.04306182451707083,0.06725772104623699,4642979.166666667
15,1,5,10,0.0073144486523646635,0.01561673140133207,0.032132601113540785,0.053624872504132455,3722843.75
16,1,7,3,0.009954209909339446,0.010617198205680325,0.01269551389420328,0.030204291468412248,1884437.5
17,1,7,4,0.018063904802043698,0.03041966015245826,0.05262508619643041,0.08842484484215424,6394052.083333333
18,1,7,5,0.009961804354928275,0.013205060307981728,0.022979265660695164,0.04374360960334774,2813086.8055555555
19,1,7,6,0.013280737593717677,0.02415318913108297,0.06411631314606231,0.09781753871440965,6816659.722222222
20,1,7,7,0.01126711124731573,0.020425246791120052,0.04926640092945829,0.07571623738436571,5329190.972222222
21,1,7,8,0.009249244462853527,0.011310940246505113,0.016448088700893808,0.03498594155229794,2104298.611111111
22,1,7,9,0.01700693179293749,0.026502496722121783,0.07558589743486821,0.11247770335129581,7584437.5
23,1,7,10,0.012027007170499274,0.02582800458257116,0.06252801116554711,0.0930686397082626,6468746.527777778
24,1,10,3,0.010436396172077981,0.010176170646779751,0.010833779489798086,0.027754116329659764,1776868.0555555555
25,1,10,4,0.018601830884015874,0.025079297995656828,0.0464878123655577,0.08369877756648385,5958840.277777778
26,1,10,5,0.019251332713711107,0.021145565390249726,0.05868144078004367,0.09263298269011754,6635524.305555556
27,1,10,6,0.01662638511235505,0.027433959846550497,0.07170941685174952,0.10808027781932504,7419187.5
28,1,10,7,0.01659388350885345,0.026968385754075418,0.07529873759729383,0.11163405915336777,7641128.472222222
