,Window,latent_recon_mse,latent_fwd_mse,MSE,MAE,IIEE
0,1,0,0.006793817039579153,0.00898499416325685,0.02293988880141033,1507347.2222222222
1,5,0,0.006678460165858269,0.009297265215080957,0.02367337290967814,1547427.0833333333
2,10,0,0.00697392039000988,0.009043637120986171,0.023342487810096527,1628645.8333333333
3,20,0,0.005678508430719376,0.007662493482459421,0.022541601029740493,1541305.5555555555
