,Img_Climate_Window,latent_recon_mse,latent_fwd_mse,MSE,MAE,IIEE
0,2,0,0,0.01235427712280984,0.03403581409247147,1891086.8055555555
1,5,0,0,0.01029833813376307,0.03434735556608029,2025513.888888889
2,7,0,0,0.011467738996955548,0.02970364029764379,1749149.3055555555
3,10,0,0,0.010775444069097037,0.03083427865848331,1820767.361111111
4,15,0,0,0.011756786610327362,0.03149208062409921,1990138.888888889
5,20,0,0,0.009616934123604814,0.028495901724930404,1803513.888888889
