,Img_Climate_Window,MSE,MAE,IIEE
0,2,0.010912985357782488,0.027141023189437796,1777604.1666666667
1,5,0.009668709796022704,0.02681822185056574,1687305.5555555555
2,7,0.009289054983407229,0.027782051409079175,1973097.2222222222
3,10,0.008902703093285733,0.027450140675893683,2002996.5277777778
4,15,0.008775175948541955,0.027380599827281197,2053250.0
5,20,0.008699076823850661,0.0274069559566566,2056934.0277777778
