,Window,History,SVD rank,MSE,IIEE,MAE
32,1,5,15,0.03194257515074161,6466278.076171875,0.07271737060770392
33,1,5,16,0.016260983313801304,5128552.24609375,0.05762170760019784
34,1,5,17,0.09787204057000361,11232739.2578125,0.14579122012866394
35,1,5,18,0.08480859184090303,10159819.3359375,0.1338207476674376
36,1,5,19,0.029204816189353278,7748180.5419921875,0.07523406520838968
37,1,5,20,0.06923161714648271,9236496.58203125,0.11451374378327715
38,1,7,2,0.04349067748688435,9582041.625976562,0.0996779268309878
39,1,7,3,0.014297624466764036,2916281.1279296875,0.045117496246653614
40,1,7,4,0.014383737259428342,2789447.9370117188,0.04377122908543162
41,1,7,5,0.011192978142062326,2111486.053466797,0.03505371701604298
42,1,7,6,0.014928374315903157,2756177.0629882812,0.04438112030254208
43,1,7,7,0.03241168989268809,9103958.129882812,0.08407910621210321
44,1,7,8,0.06783154856606138,10432874.755859375,0.12354618712675638
45,1,7,9,0.05866967740959505,10235791.625976562,0.11352746729024991
46,1,7,10,0.03469110439511423,8117083.1298828125,0.09108336564475566
47,1,7,11,0.04572701346947495,9328975.830078125,0.1029885201665526
48,1,7,12,0.04819531633345922,6623534.5458984375,0.08679554059059416
49,1,7,13,0.011799629969527641,3091802.0629882812,0.040485230497840946
50,1,7,14,0.08483115485776176,10322409.66796875,0.13685087581643163
51,1,7,15,0.07456978976155011,9953020.629882812,0.12356308478684465
52,1,7,16,0.019441443288080482,5418451.5380859375,0.05459655241131874
53,1,7,17,0.02903407100014199,9485121.459960938,0.08011312214411832
54,1,7,18,0.014098567174480926,4163968.8110351562,0.04770211031346358
55,1,7,19,0.03055023950755705,4887149.353027344,0.06867496737834745
56,1,7,20,0.03329837966890833,8179281.005859375,0.08007893414642747
57,1,10,2,0.04024615553107731,9413107.91015625,0.09761116233971824
58,1,10,3,0.013437456149125181,3166298.5229492188,0.04428887077158737
59,1,10,4,0.0774234661595939,7605989.3798828125,0.1005423280600538
60,1,10,5,0.010094500598230593,2312111.053466797,0.03377606901724517
61,1,10,6,0.02149608173938548,6076138.916015625,0.05712099704401928
62,1,10,7,0.04528032331765937,9673513.793945312,0.10249936848784148
63,1,10,8,0.03130461353017769,9249024.047851562,0.08904123675819604
64,1,10,9,0.042447124116564185,9721666.870117188,0.09540122063301126
65,1,10,10,0.039480469007540445,9316781.005859375,0.0938409830775077
66,1,10,11,0.05863000985719144,8697312.622070312,0.10809360196400687
67,1,10,12,0.02144012869678447,5179201.66015625,0.06154687997030142
68,1,10,13,0.013646243038875279,5502041.6259765625,0.05130301508379773
69,1,10,14,0.011166882327508334,2933708.1909179688,0.04080293245821194
70,1,10,15,0.026786875699172298,4465145.8740234375,0.06479003454240158
71,1,10,16,0.014772308533906809,3623284.6069335938,0.04604401842190901
72,1,10,17,0.014564625921924554,3601572.8759765625,0.048008695323647564
73,1,10,18,0.08346917517048287,10425632.32421875,0.13752212397903257
74,1,10,19,0.015013391207344292,2036750.0305175781,0.042493490228523736
75,1,10,20,0.012904610886369149,3575277.7099609375,0.04340393145362825
76,5,2,2,0.052187181850059904,10232052.001953125,0.111900970279785
77,5,2,3,0.012936411825504635,3097124.9389648438,0.04271306712057843
78,5,2,4,0.012196555677626066,3514996.6430664062,0.04196255476023912
79,5,2,5,0.017398452787083133,3569750.0610351562,0.04983443559823638
