,Window,latent_recon_mse,latent_fwd_mse,MSE,MAE,IIEE
0,1,1.5864281548394097,0,0.008984994143603377,0.022939888807248367,1507347.2222222222
1,5,1.4754425048828126,0,0.009297265161688467,0.02367337282906806,1547427.0833333333
2,10,1.508316887749566,0,0.009043637134681197,0.023342487845845458,1628649.3055555555
3,20,1.2907560560438367,0,0.007662493481928625,0.022541601020995002,1541302.0833333333
