,Climate_Window,latent_recon_mse,latent_fwd_mse,MSE,MAE,IIEE
0,2,0.010584765113890171,0,0.012123736928441054,0.026951556055946718,1881184.0277777778
1,5,0.008316146209836006,0,0.010275264776468278,0.02464546373905315,1728666.6666666667
2,7,0.008844844996929169,0,0.009777513278594127,0.02411339583842901,1713531.25
3,10,0.008354520425200462,0,0.008881139348785193,0.023463354114398344,1651381.9444444445
4,15,0.008191816508769989,0,0.010773710505423244,0.02588190688088409,1807875.0
5,20,0.008078747428953648,0,0.011825766489297137,0.02773970464250728,1912784.7222222222
